,HospitalDirectory,HospitalPrice
25,/Users/ryanripper/Downloads/2019/Henry Mayo Newhall Memorial Hospital,4848.43
26,/Users/ryanripper/Downloads/2019/Placentia-Linda Community Hospital,6920.61
26,/Users/ryanripper/Downloads/2019/Mercy Medical Center - Merced,5774
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Antioch,2500
19,/Users/ryanripper/Downloads/2019/Sutter Auburn Faith Hospital,2674
25,/Users/ryanripper/Downloads/2019/Ojai Valley Community Hospital,657
19,/Users/ryanripper/Downloads/2019/Sutter Surgical Hospital - North Valley,
26,/Users/ryanripper/Downloads/2019/St Bernardine Medical Center,3142
26,/Users/ryanripper/Downloads/2019/Sierra Nevada Memorial Hospital,3898
26,/Users/ryanripper/Downloads/2019/Mercy General Hospital,4604
25,/Users/ryanripper/Downloads/2019/Sierra Vista Hospital,
26,/Users/ryanripper/Downloads/2019/Bakersfield Behavioral Healthcare Hospital,
19,/Users/ryanripper/Downloads/2019/Alta Bates-Summit Med Ctr-Summit Campus,3294
19,/Users/ryanripper/Downloads/2019/Alta Bates-Summit Med Ctr-Summit Campus,3294
26,/Users/ryanripper/Downloads/2019/John C Fremont Healthcare District,1430
26,/Users/ryanripper/Downloads/2019/Ventura County Medical Center,2343
26,/Users/ryanripper/Downloads/2019/Hemet Valley Medical Center,2045.75
26,/Users/ryanripper/Downloads/2019/Santa Clara Valley Medical Center,695
26,/Users/ryanripper/Downloads/2019/Southwest Healthcare System - Murrieta,3923
26,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,1453
1169,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,
1485,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,
1212,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,
1531,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,
846,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,RAD
1085,/Users/ryanripper/Downloads/2019/Eastern Plumas Dsitrict Hospital,RAD
26,/Users/ryanripper/Downloads/2019/Santa Ynez Valley Cottage Hospital,1873.84
26,/Users/ryanripper/Downloads/2019/Doctors Hospital - Manteca,7609.09
26,/Users/ryanripper/Downloads/2019/Vibra Rehabilitation Hospital of Rancho Mirage,
1882,/Users/ryanripper/Downloads/2019/Vibra Rehabilitation Hospital of Rancho Mirage,
26,/Users/ryanripper/Downloads/2019/Goleta Valley Cottage Hospital,1873.84
22,/Users/ryanripper/Downloads/2019/Kern Medical Center,1694.95
18902,/Users/ryanripper/Downloads/2019/Kern Medical Center,1694.95
18903,/Users/ryanripper/Downloads/2019/Kern Medical Center,226.1
19638,/Users/ryanripper/Downloads/2019/Kern Medical Center,0.0
19639,/Users/ryanripper/Downloads/2019/Kern Medical Center,0.0
1104,/Users/ryanripper/Downloads/2019/Hollywood Presbyterian Medical Center,3712.0
26,/Users/ryanripper/Downloads/2019/Hollywood Presbyterian Medical Center,3712
26,/Users/ryanripper/Downloads/2019/St Francis Memorial Hospital - S.F,4400
25,/Users/ryanripper/Downloads/2019/Community Memorial Hospital San Buenaventura,657
26,/Users/ryanripper/Downloads/2019/San Joaquin Valley Rehab Center,
471,/Users/ryanripper/Downloads/2019/San Joaquin Valley Rehab Center,
597,/Users/ryanripper/Downloads/2019/San Joaquin Valley Rehab Center,
6803,/Users/ryanripper/Downloads/2019/San Joaquin Valley Rehab Center,
7084,/Users/ryanripper/Downloads/2019/San Joaquin Valley Rehab Center,
25,/Users/ryanripper/Downloads/2019/Eisenhower Medical Center,3640
26,/Users/ryanripper/Downloads/2019/French Hospital - San Luis Obispo,395
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Northern Region,2500
26,/Users/ryanripper/Downloads/2019/Mercy San Juan Hospital,4604
26,/Users/ryanripper/Downloads/2019/Marin General Hospital,6500
19,/Users/ryanripper/Downloads/2019/California Pacific Medical Center - Pacific Campus,3294
