,name,beds,city,website
109,Desert Valley Hospital,148,Victorville,https://www.ahd.com/free_profile/050709/Desert_Valley_Hospital/Victorville/California/
110,Dignity Health - St. Mary Medical Center,297,Long Beach,https://www.ahd.com/free_profile/050191/Dignity_Health_-_St_Mary_Medical_Center/Long_Beach/California/
111,Docs Surgical Hospital,17,Los Angeles,https://www.ahd.com/free_profile/050785/Docs_Surgical_Hospital/Los_Angeles/California/
112,Doctors Hospital of Manteca,73,Manteca,https://www.ahd.com/free_profile/050118/Doctors_Hospital_of_Manteca/Manteca/California/
113,Doctors Medical Center of Modesto,447,Modesto,https://www.ahd.com/free_profile/050464/Doctors_Medical_Center_of_Modesto/Modesto/California/
114,Dominican Hospital,222,Santa Cruz,https://www.ahd.com/free_profile/050242/Dominican_Hospital/Santa_Cruz/California/
115,DSH - Metropolitan ,976,Norwalk,https://www.ahd.com/free_profile/054133/DSH_-_Metropolitan_/Norwalk/California/
116,East Los Angeles Doctors Hospital,127,Los Angeles,https://www.ahd.com/free_profile/050641/East_Los_Angeles_Doctors_Hospital/Los_Angeles/California/
117,Eastern Plumas Health Care,75,Portola,https://www.ahd.com/free_profile/051300/Eastern_Plumas_Health_Care/Portola/California/
118,Eden Medical Center,126,Castro Valley,https://www.ahd.com/free_profile/050488/Eden_Medical_Center/Castro_Valley/California/
119,Eisenhower Medical Center,345,Rancho Mirage,https://www.ahd.com/free_profile/050573/Eisenhower_Medical_Center/Rancho_Mirage/California/
120,El Camino Hospital Los Gatos Campus,0,Los Gatos,https://www.ahd.com/free_profile/I41650/El_Camino_Hospital_Los_Gatos_Campus/Los_Gatos/California/
121,El Camino Hospital Mountain View Campus,443,Mountain View,https://www.ahd.com/free_profile/050308/El_Camino_Hospital_Mountain_View_Campus/Mountain_View/California/
122,El Centro Regional Medical Center,161,El Centro,https://www.ahd.com/free_profile/050045/El_Centro_Regional_Medical_Center/El_Centro/California/
123,Emanate Health Foothill Presbyterian Hospital,105,Glendora,https://www.ahd.com/free_profile/050597/Emanate_Health_Foothill_Presbyterian_Hospital/Glendora/California/
124,Emanate Health Inter-Community Hospital,516,Covina,https://www.ahd.com/free_profile/050382/Emanate_Health_Inter-Community_Hospital/Covina/California/
125,Emanate Health Queen of the Valley Hospital,325,West Covina,https://www.ahd.com/free_profile/050369/Emanate_Health_Queen_of_the_Valley_Hospital/West_Covina/California/
126,Emanuel Medical Center,209,Turlock,https://www.ahd.com/free_profile/050179/Emanuel_Medical_Center/Turlock/California/
127,Encino Hospital Medical Center,148,Encino,https://www.ahd.com/free_profile/050158/Encino_Hospital_Medical_Center/Encino/California/
128,Encompass Health Rehabilitation Hospital of Bakersfield,86,Bakersfield,https://www.ahd.com/free_profile/053031/Encompass_Health_Rehabilitation_Hospital_of_Bakersfield/Bakersfield/California/
129,Encompass Health Rehabilitation Hospital of Modesto,50,Modesto,https://www.ahd.com/free_profile/053040/Encompass_Health_Rehabilitation_Hospital_of_Modesto/Modesto/California/
130,Encompass Health Rehabilitation Hospital of Murrieta,50,Murrietta,https://www.ahd.com/free_profile/053042/Encompass_Health_Rehabilitation_Hospital_of_Murrieta/Murrietta/California/
131,Encompass Health Rehabilitation Hospital of Tustin,48,Tustin,https://www.ahd.com/free_profile/053034/Encompass_Health_Rehabilitation_Hospital_of_Tustin/Tustin/California/
132,Enloe Medical Center,338,Chico,https://www.ahd.com/free_profile/050039/Enloe_Medical_Center/Chico/California/
133,Fairchild Medical Center,25,Yreka,https://www.ahd.com/free_profile/051316/Fairchild_Medical_Center/Yreka/California/
134,Fairmont Rehabilitation and Wellness,0,San Leandro,https://www.ahd.com/free_profile/I41261/Fairmont_Rehabilitation_and_Wellness/San_Leandro/California/
135,Fairview Developmental Center,30,Costa Mesa,https://www.ahd.com/free_profile/050548/Fairview_Developmental_Center/Costa_Mesa/California/
136,Fern Lodge,0,Castro Valley,https://www.ahd.com/free_profile/051994/Fern_Lodge/Castro_Valley/California/
137,Fontana Medical Center,626,Fontana,https://www.ahd.com/free_profile/050140/Fontana_Medical_Center/Fontana/California/
138,Foothill Regional Medical Center,177,Tustin,https://www.ahd.com/free_profile/050780/Foothill_Regional_Medical_Center/Tustin/California/
139,Fountain Valley Regional Hospital,400,Fountain Valley,https://www.ahd.com/free_profile/050570/Fountain_Valley_Regional_Hospital/Fountain_Valley/California/
140,Fremont Hospital,148,Fremont,https://www.ahd.com/free_profile/054110/Fremont_Hospital/Fremont/California/
141,French Hospital Medical Center ,98,San Luis Obispo,https://www.ahd.com/free_profile/050232/French_Hospital_Medical_Center_/San_Luis_Obispo/California/
142,Fresno Heart & Surgical Hospital,57,Fresno,https://www.ahd.com/free_profile/050732/Fresno_Heart_%26_Surgical_Hospital/Fresno/California/
143,Fresno Medical Center,169,Fresno,https://www.ahd.com/free_profile/050710/Fresno_Medical_Center/Fresno/California/
144,Fresno Surgical Hospital,27,Fresno,https://www.ahd.com/free_profile/050708/Fresno_Surgical_Hospital/Fresno/California/
145,Garden Grove Hospital and Medical Center,167,Garden Grove,https://www.ahd.com/free_profile/050230/Garden_Grove_Hospital_and_Medical_Center/Garden_Grove/California/
146,Garfield Medical Center,210,Monterey Park,https://www.ahd.com/free_profile/050737/Garfield_Medical_Center/Monterey_Park/California/
147,Gateways Hospital and Mental Health Center,55,Los Angeles,https://www.ahd.com/free_profile/054028/Gateways_Hospital_and_Mental_Health_Center/Los_Angeles/California/
148,George L. Mee Memorial Hospital,61,King City,https://www.ahd.com/free_profile/051336/George_L_Mee_Memorial_Hospital/King_City/California/
149,Glendale Memorial Hospital & Health Center,304,Glendale,https://www.ahd.com/free_profile/050058/Glendale_Memorial_Hospital_%26_Health_Center/Glendale/California/
150,Glendora Oaks Behavioral Health Hospital,21,Glendora,https://www.ahd.com/free_profile/054157/Glendora_Oaks_Behavioral_Health_Hospital/Glendora/California/
151,Glenn Medical Center,15,Willows,https://www.ahd.com/free_profile/051306/Glenn_Medical_Center/Willows/California/
152,Goleta Valley Cottage Hospital,28,Santa Barbara,https://www.ahd.com/free_profile/050357/Goleta_Valley_Cottage_Hospital/Santa_Barbara/California/
153,Good Samaritan Hospital,64,Bakersfield,https://www.ahd.com/free_profile/050257/Good_Samaritan_Hospital/Bakersfield/California/
154,Good Samaritan Hospital,359,San Jose,https://www.ahd.com/free_profile/050380/Good_Samaritan_Hospital/San_Jose/California/
155,Greater El Monte Community Hospital,117,South El Monte,https://www.ahd.com/free_profile/050738/Greater_El_Monte_Community_Hospital/South_El_Monte/California/
156,Harbor-UCLA Medical Center,407,Torrance,https://www.ahd.com/free_profile/050376/Harbor-UCLA_Medical_Center/Torrance/California/
157,Hazel Hawkins Memorial Hospital,168,Hollister,https://www.ahd.com/free_profile/051337/Hazel_Hawkins_Memorial_Hospital/Hollister/California/
158,Healdsburg District Hospital,42,Healdsburg,https://www.ahd.com/free_profile/051321/Healdsburg_District_Hospital/Healdsburg/California/
159,Healthbridge Children's Hospital Orange,6,Orange,https://www.ahd.com/free_profile/053308/Healthbridge_Children%27s_Hospital_Orange/Orange/California/
160,Hemet Global Medical Center,309,Hemet,https://www.ahd.com/free_profile/050390/Hemet_Global_Medical_Center/Hemet/California/
161,Henry Mayo Newhall Memorial Hospital,357,Valencia,https://www.ahd.com/free_profile/050624/Henry_Mayo_Newhall_Memorial_Hospital/Valencia/California/
162,Heritage Oaks Hospital,125,Sacramento,https://www.ahd.com/free_profile/054104/Heritage_Oaks_Hospital/Sacramento/California/
163,Heritage Psychiatric Health Center,26,Oakland,https://www.ahd.com/free_profile/054146/Heritage_Psychiatric_Health_Center/Oakland/California/
164,Hi-Desert Medical Center,175,Joshua Tree,https://www.ahd.com/free_profile/050279/Hi-Desert_Medical_Center/Joshua_Tree/California/
165,Highland Hospital,415,Oakland,https://www.ahd.com/free_profile/050320/Highland_Hospital/Oakland/California/
166,Hoag Hospital Irvine,0,Irvine,https://www.ahd.com/free_profile/I41949/Hoag_Hospital_Irvine/Irvine/California/
167,Hoag Hospital Newport Beach,530,Newport Beach,https://www.ahd.com/free_profile/050224/Hoag_Hospital_Newport_Beach/Newport_Beach/California/
168,Hoag Orthopedic Institute,70,Irvine,https://www.ahd.com/free_profile/050769/Hoag_Orthopedic_Institute/Irvine/California/
169,Huntington Beach Hospital,131,Huntington Beach,https://www.ahd.com/free_profile/050526/Huntington_Beach_Hospital/Huntington_Beach/California/
170,Huntington Hospital,563,Pasadena,https://www.ahd.com/free_profile/050438/Huntington_Hospital/Pasadena/California/
171,Impact Drug and Alcohol Treatment Center,0,Pasadena,https://www.ahd.com/free_profile/I08101/Impact_Drug_and_Alcohol_Treatment_Center/Pasadena/California/
172,Inland Valley Medical Center,0,Wildomar,https://www.ahd.com/free_profile/I41164/Inland_Valley_Medical_Center/Wildomar/California/
173,Jacobs Medical Center at UC San Diego Health,0,La Jolla,https://www.ahd.com/free_profile/I41388/Jacobs_Medical_Center_at_UC_San_Diego_Health/La_Jolla/California/
174,Jerold Phelps Community Hospital,17,Garberville,https://www.ahd.com/free_profile/051309/Jerold_Phelps_Community_Hospital/Garberville/California/
175,John C. Fremont Healthcare District,34,Mariposa,https://www.ahd.com/free_profile/051304/John_C_Fremont_Healthcare_District/Mariposa/California/
176,John F. Kennedy Memorial Hospital,130,Indio,https://www.ahd.com/free_profile/050534/John_F_Kennedy_Memorial_Hospital/Indio/California/
177,John George Psychiatric Hospital ,0,San Leandro,https://www.ahd.com/free_profile/I41656/John_George_Psychiatric_Hospital_/San_Leandro/California/
178,John Muir Behavioral Health Center,73,Concord,https://www.ahd.com/free_profile/054131/John_Muir_Behavioral_Health_Center/Concord/California/
